section,category,subcategory_a,subcategory_b,trans_ab,trans_ab_pm,avg_qty_a_when_pair,avg_qty_b_when_pair
BACKWALL,2415 - SIGARET ELEKTRIK,2415A - DEVICE,2415B - DISPOSABLE DEVICE,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2415 - SIGARET ELEKTRIK,2415A - DEVICE,2415C - LIQUID,136,45.3333333333333333,1.0139860139860140,1.0279720279720280
BACKWALL,2415 - SIGARET ELEKTRIK,2415A - DEVICE,2415E - HEATED TOBACCO,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2415 - SIGARET ELEKTRIK,2415B - DISPOSABLE DEVICE,2415C - LIQUID,11,3.6666666666666667,1.1200000000000000,1.1200000000000000
BACKWALL,2415 - SIGARET ELEKTRIK,2415C - LIQUID,2415E - HEATED TOBACCO,9,3.0000000000000000,1.00000000000000000000,1.2222222222222222
BCTB (FLOOR),1113 - MINERAL WATER,1113A - MINERAL WATER CUP,1113B - MINERAL WATER PET 330-400ML,55,18.3333333333333333,1.3166666666666667,32.9000000000000000
BCTB (FLOOR),1113 - MINERAL WATER,1113A - MINERAL WATER CUP,1113C - MINERAL WATER PET 500-750ML,103,34.3333333333333333,1.1682242990654206,11.0841121495327103
BCTB (FLOOR),1113 - MINERAL WATER,1113A - MINERAL WATER CUP,1113D - MINERAL WATER PET 1-1.5L,91,30.3333333333333333,1.1546391752577320,6.5154639175257732
BCTB (FLOOR),1113 - MINERAL WATER,1113A - MINERAL WATER CUP,1113I - FUNCTIONAL DRINK,20,6.6666666666666667,1.1666666666666667,6.7083333333333333
BCTB (FLOOR),1119 - MINERAL WATER GALON,1119A - MINERAL WATER GALON 15-19L,1119B - MINERAL WATER GALON 5-6L,87,29.0000000000000000,1.3146067415730337,1.2359550561797753
BCTB (FLOOR),1119 - MINERAL WATER GALON,1119A - MINERAL WATER GALON 15-19L,1119C - GALON,1123,374.3333333333333333,1.1228070175438596,1.0447368421052632
BCTB (FLOOR),1119 - MINERAL WATER GALON,1119B - MINERAL WATER GALON 5-6L,1119C - GALON,4,1.3333333333333333,1.00000000000000000000,1.00000000000000000000
BEVERAGES,1115 - REMEDIES DRINK,1115B - REMEDIES DRINK BOX,1115C - REMEDIES DRINK PET 150-350ML,26,8.6666666666666667,1.0714285714285714,1.6428571428571429
BEVERAGES,1115 - REMEDIES DRINK,1115B - REMEDIES DRINK BOX,1115D - REMEDIES DRINK PET 500-600ML,64,21.3333333333333333,1.0615384615384615,1.6153846153846154
BEVERAGES,1121 - DESSERT,1121A - NATA DE COCO (PERSONAL PACK),1121B - NATA DE COCO (FAMILY PACK),17,5.6666666666666667,1.6470588235294118,1.1764705882352941
BEVERAGES,1121 - DESSERT,1121A - NATA DE COCO (PERSONAL PACK),1121C - GRASS JELLY,9,3.0000000000000000,1.0909090909090909,2.0909090909090909
BEVERAGES,1121 - DESSERT,1121A - NATA DE COCO (PERSONAL PACK),1121D - ICE POP,4,1.3333333333333333,1.5000000000000000,1.00000000000000000000
BEVERAGES,1121 - DESSERT,1121A - NATA DE COCO (PERSONAL PACK),1121E - MIXED FRUIT,6,2.0000000000000000,1.5000000000000000,1.00000000000000000000
BEVERAGES,1121 - DESSERT,1121B - NATA DE COCO (FAMILY PACK),1121C - GRASS JELLY,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BEVERAGES,1121 - DESSERT,1121B - NATA DE COCO (FAMILY PACK),1121E - MIXED FRUIT,1,0.50000000000000000000,1.00000000000000000000,2.0000000000000000
BEVERAGES,1154 - RTD TEA,1154C - RTD TEA TETRAPACK 1L,1154D - RTD TEA PET 250-420ML,77,25.6666666666666667,1.2727272727272727,1.6363636363636364
BEVERAGES,1154 - RTD TEA,1154C - RTD TEA TETRAPACK 1L,1154E - RTD TEA PET 450-500ML,32,10.6666666666666667,1.2857142857142857,1.9142857142857143
BEVERAGES,1154 - RTD TEA,1154C - RTD TEA TETRAPACK 1L,1154G - RTD TEA CAN,1,0.33333333333333333333,2.0000000000000000,1.00000000000000000000
BEVERAGES,1154 - RTD TEA,1154C - RTD TEA TETRAPACK 1L,1154J - RTD TEA PET >=1000ML,28,9.3333333333333333,1.4666666666666667,1.0666666666666667
BEVERAGES,1154 - RTD TEA,1154C - RTD TEA TETRAPACK 1L,1154K - RTD MILK TEA PET,23,7.6666666666666667,1.6129032258064516,1.4193548387096774
BEVERAGES,1154 - RTD TEA,1154C - RTD TEA TETRAPACK 1L,1154L - RTD TEA LESS SUGAR,25,8.3333333333333333,1.4000000000000000,2.8000000000000000
BEVERAGES,1231 - TRADITIONAL DRINK,1231A - TRADITIONAL DRINK SACHET 4-8S,1231B - TRADITIONAL DRINK SACHET >=10S,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
BEVERAGES,1231 - TRADITIONAL DRINK,1231A - TRADITIONAL DRINK SACHET 4-8S,1231C - TRADITIONAL DRINK TETRAPACK,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BEVERAGES,2023 - TETRAPACK LIQUID MILK,2023D - TETRAPAK LIQUID MILK 900-1000ML,2023E - TETRAPAK LIQUID MILK PACKED,480,160.0000000000000000,1.2612752721617418,1.1835147744945568
BEVERAGES,2023 - TETRAPACK LIQUID MILK,2023D - TETRAPAK LIQUID MILK 900-1000ML,2023F - TETRAPAK LIQUID MILK CARTON,250,83.3333333333333333,1.2517730496453901,1.2411347517730496
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222A - COOKIES BISCUIT 15-30G,2222B - COOKIES BISCUIT 40-60G,17,5.6666666666666667,1.1071428571428571,1.1071428571428571
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222A - COOKIES BISCUIT 15-30G,2222C - COOKIES BISCUIT 61-100G,11,3.6666666666666667,1.0833333333333333,1.0833333333333333
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222A - COOKIES BISCUIT 15-30G,2222D - COOKIES BISCUIT 110-200G,18,6.0000000000000000,1.1250000000000000,1.3333333333333333
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222A - COOKIES BISCUIT 15-30G,2222F - HEALTHY COOKIES BISCUIT,6,2.0000000000000000,1.00000000000000000000,2.2727272727272727
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222B - COOKIES BISCUIT 40-60G,2222C - COOKIES BISCUIT 61-100G,635,211.6666666666666667,1.1652719665271967,1.1077405857740586
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222B - COOKIES BISCUIT 40-60G,2222D - COOKIES BISCUIT 110-200G,265,88.3333333333333333,1.1363636363636364,1.0775401069518717
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222B - COOKIES BISCUIT 40-60G,2222E - COOKIES BISCUIT 250-300G,89,29.6666666666666667,1.1834862385321101,1.0733944954128440
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222B - COOKIES BISCUIT 40-60G,2222F - HEALTHY COOKIES BISCUIT,240,80.0000000000000000,1.1699029126213592,1.6213592233009709
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222C - COOKIES BISCUIT 61-100G,2222D - COOKIES BISCUIT 110-200G,461,153.6666666666666667,1.1634103019538188,1.0905861456483126
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222C - COOKIES BISCUIT 61-100G,2222E - COOKIES BISCUIT 250-300G,203,67.6666666666666667,1.1388888888888889,1.0873015873015873
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222C - COOKIES BISCUIT 61-100G,2222F - HEALTHY COOKIES BISCUIT,230,76.6666666666666667,1.0884955752212389,1.4277286135693215
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222D - COOKIES BISCUIT 110-200G,2222E - COOKIES BISCUIT 250-300G,275,91.6666666666666667,1.1111111111111111,1.1049382716049383
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222D - COOKIES BISCUIT 110-200G,2222F - HEALTHY COOKIES BISCUIT,152,50.6666666666666667,1.0502092050209205,1.6987447698744770
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222E - COOKIES BISCUIT 250-300G,2222F - HEALTHY COOKIES BISCUIT,62,20.6666666666666667,1.0714285714285714,1.4642857142857143
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223A - CRACKER BISCUIT 10-30G,2223B - CRACKER BISCUIT 35-99G,53,17.6666666666666667,1.3461538461538462,1.1538461538461538
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223A - CRACKER BISCUIT 10-30G,2223C - CRACKER BISCUIT 100-180G,22,7.3333333333333333,1.4000000000000000,1.00000000000000000000
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223A - CRACKER BISCUIT 10-30G,2223D - CRACKER BISCUIT 200-260G,8,2.6666666666666667,1.3333333333333333,1.00000000000000000000
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223B - CRACKER BISCUIT 35-99G,2223C - CRACKER BISCUIT 100-180G,823,274.3333333333333333,1.1783317353787152,1.1418983700862895
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223B - CRACKER BISCUIT 35-99G,2223D - CRACKER BISCUIT 200-260G,328,109.3333333333333333,1.1706666666666667,1.0666666666666667
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223B - CRACKER BISCUIT 35-99G,2223E - CRACKER BISCUIT 300-400G,54,18.0000000000000000,1.2372881355932203,1.0508474576271186
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223C - CRACKER BISCUIT 100-180G,2223D - CRACKER BISCUIT 200-260G,419,139.6666666666666667,1.1500000000000000,1.0711538461538462
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223C - CRACKER BISCUIT 100-180G,2223E - CRACKER BISCUIT 300-400G,47,15.6666666666666667,1.1694915254237288,1.0338983050847458
BISC & CONFECTIONARY,2223 - CRACKER BISCUIT,2223D - CRACKER BISCUIT 200-260G,2223E - CRACKER BISCUIT 300-400G,99,33.0000000000000000,1.2155172413793103,1.0775862068965517
BISC & CONFECTIONARY,2224 - MARIE BISCUIT,2224A - MARIE BISCUIT 30-85G,2224B - MARIE BISCUIT 100-190G,5,1.6666666666666667,1.00000000000000000000,1.4000000000000000
BISC & CONFECTIONARY,2224 - MARIE BISCUIT,2224A - MARIE BISCUIT 30-85G,2224C - MARIE BISCUIT 200-250G,14,4.6666666666666667,1.00000000000000000000,1.00000000000000000000
BISC & CONFECTIONARY,2224 - MARIE BISCUIT,2224B - MARIE BISCUIT 100-190G,2224C - MARIE BISCUIT 200-250G,49,16.3333333333333333,1.1538461538461538,1.0961538461538462
BISC & CONFECTIONARY,2225 - PIE BISCUIT,2225A - PIE BISCUIT 32-110G,2225B - PIE BISCUIT 150-200G,24,8.0000000000000000,1.1666666666666667,1.2083333333333333
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226A - SANDWICH BISCUIT 10-49G,2226B - SANDWICH BISCUIT 50-99G,37,12.3333333333333333,1.2682926829268293,1.0487804878048780
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226A - SANDWICH BISCUIT 10-49G,2226C - SANDWICH BISCUIT 100-150G,73,24.3333333333333333,1.2745098039215686,1.0980392156862745
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226A - SANDWICH BISCUIT 10-49G,2226D - SANDWICH BISCUIT 160-229G,12,4.0000000000000000,1.2307692307692308,1.00000000000000000000
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226B - SANDWICH BISCUIT 50-99G,2226C - SANDWICH BISCUIT 100-150G,653,217.6666666666666667,1.1007927519818800,1.1370328425821065
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226B - SANDWICH BISCUIT 50-99G,2226D - SANDWICH BISCUIT 160-229G,202,67.3333333333333333,1.2048192771084337,1.0642570281124498
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226B - SANDWICH BISCUIT 50-99G,2226E - SANDWICH BISCUIT 230-500G,7,3.5000000000000000,1.1428571428571429,1.2857142857142857
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,2226D - SANDWICH BISCUIT 160-229G,676,225.3333333333333333,1.1639175257731959,1.1051546391752577
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226C - SANDWICH BISCUIT 100-150G,2226E - SANDWICH BISCUIT 230-500G,13,6.5000000000000000,1.00000000000000000000,1.6428571428571429
BISC & CONFECTIONARY,2226 - SANDWICH BISCUIT,2226D - SANDWICH BISCUIT 160-229G,2226E - SANDWICH BISCUIT 230-500G,6,3.0000000000000000,1.1250000000000000,1.2500000000000000
BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227A - WAFER BISCUIT PACK,2227B - WAFER BISCUIT 10-40G,4,1.3333333333333333,1.2500000000000000,1.7500000000000000
BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227A - WAFER BISCUIT PACK,2227C - WAFER BISCUIT 45-95G,17,5.6666666666666667,1.0588235294117647,1.0588235294117647
BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227A - WAFER BISCUIT PACK,2227D - WAFER BISCUIT 100-145G,161,53.6666666666666667,1.2405660377358491,1.1509433962264151
BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227A - WAFER BISCUIT PACK,2227F - WAFER BISCUIT 300-350G,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227B - WAFER BISCUIT 10-40G,2227C - WAFER BISCUIT 45-95G,5,1.6666666666666667,1.4000000000000000,1.00000000000000000000
BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227B - WAFER BISCUIT 10-40G,2227D - WAFER BISCUIT 100-145G,18,6.0000000000000000,1.5789473684210526,1.0526315789473684
BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227B - WAFER BISCUIT 10-40G,2227E - WAFER BISCUIT 150-260G,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227C - WAFER BISCUIT 45-95G,2227D - WAFER BISCUIT 100-145G,268,89.3333333333333333,1.3123209169054441,1.2120343839541547
BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227C - WAFER BISCUIT 45-95G,2227F - WAFER BISCUIT 300-350G,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227D - WAFER BISCUIT 100-145G,2227E - WAFER BISCUIT 150-260G,4,1.3333333333333333,1.00000000000000000000,1.2500000000000000
BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227D - WAFER BISCUIT 100-145G,2227F - WAFER BISCUIT 300-350G,28,9.3333333333333333,1.1212121212121212,1.00000000000000000000
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228B - STICK BISCUIT 18-35G,2228C - STICK BISCUIT 36-50G,512,170.6666666666666667,1.3166259168704156,1.4682151589242054
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228B - STICK BISCUIT 18-35G,2228D - STICK BISCUIT 51-100G,89,29.6666666666666667,1.1346153846153846,1.1538461538461538
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228B - STICK BISCUIT 18-35G,2228E - STICK BISCUIT 110-350G,31,10.3333333333333333,1.2941176470588235,1.0588235294117647
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228B - STICK BISCUIT 18-35G,2228I - STICK BISCUIT CUP,428,142.6666666666666667,1.2500000000000000,1.4039735099337748
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228B - STICK BISCUIT 18-35G,2228J - STICK BISCUIT PACK,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228C - STICK BISCUIT 36-50G,2228D - STICK BISCUIT 51-100G,151,50.3333333333333333,1.1538461538461538,1.0934065934065934
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228C - STICK BISCUIT 36-50G,2228E - STICK BISCUIT 110-350G,61,20.3333333333333333,1.4473684210526316,1.1052631578947368
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228C - STICK BISCUIT 36-50G,2228I - STICK BISCUIT CUP,251,83.6666666666666667,1.1428571428571429,1.4371428571428571
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228D - STICK BISCUIT 51-100G,2228E - STICK BISCUIT 110-350G,30,10.0000000000000000,1.0967741935483871,1.0322580645161290
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228D - STICK BISCUIT 51-100G,2228I - STICK BISCUIT CUP,63,21.0000000000000000,1.1466666666666667,1.3866666666666667
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228D - STICK BISCUIT 51-100G,2228J - STICK BISCUIT PACK,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
BISC & CONFECTIONARY,2228 - STICK BISCUIT,2228E - STICK BISCUIT 110-350G,2228I - STICK BISCUIT CUP,14,4.6666666666666667,1.00000000000000000000,1.6470588235294118
BISC & CONFECTIONARY,2229 - SOFT CAKE,2229A - SOFT CAKE <90G,2229B - SOFT CAKE >90G,24,8.0000000000000000,1.2000000000000000,1.1200000000000000
BISC & CONFECTIONARY,2301 - JELLY & PUDDING,2301A - JELLY BAG,2301B - JELLY PACK,20,6.6666666666666667,1.1666666666666667,1.2500000000000000
BISC & CONFECTIONARY,2323 - BAG CANDY,2323A - BAG CANDY,2323B - BAG CANDY GUMMY,159,53.0000000000000000,1.0766283524904215,1.1226053639846743
BISC & CONFECTIONARY,2331 - ENROBED CHOCOLATE,2331A - ENROBED CHOCOLATE 9-19G,2331B - ENROBED CHOCOLATE 20-45G,32,10.6666666666666667,1.5142857142857143,1.2571428571428571
BISC & CONFECTIONARY,2331 - ENROBED CHOCOLATE,2331A - ENROBED CHOCOLATE 9-19G,2331C - ENROBED CHOCOLATE >50G,9,3.0000000000000000,1.4444444444444444,1.1111111111111111
BISC & CONFECTIONARY,2331 - ENROBED CHOCOLATE,2331A - ENROBED CHOCOLATE 9-19G,2331D - ENROBED CHOCOLATE PASTA,5,1.6666666666666667,1.8000000000000000,1.6000000000000000
BISC & CONFECTIONARY,2331 - ENROBED CHOCOLATE,2331B - ENROBED CHOCOLATE 20-45G,2331C - ENROBED CHOCOLATE >50G,361,120.3333333333333333,1.6563981042654028,1.1966824644549763
BISC & CONFECTIONARY,2331 - ENROBED CHOCOLATE,2331B - ENROBED CHOCOLATE 20-45G,2331D - ENROBED CHOCOLATE PASTA,126,42.0000000000000000,1.4765100671140940,1.2617449664429530
BISC & CONFECTIONARY,2331 - ENROBED CHOCOLATE,2331C - ENROBED CHOCOLATE >50G,2331D - ENROBED CHOCOLATE PASTA,78,26.0000000000000000,1.1294117647058824,1.3411764705882353
BISC & CONFECTIONARY,2333 - DRAGEES CHOCOLATE,2333A - DRAGEES CHOCOLATE 10-29G,2333B - DRAGEES CHOCOLATE 30-49G,106,35.3333333333333333,1.4720000000000000,1.3120000000000000
BISC & CONFECTIONARY,2333 - DRAGEES CHOCOLATE,2333A - DRAGEES CHOCOLATE 10-29G,2333C - DRAGEES CHOCOLATE 50-160G,7,2.3333333333333333,1.2857142857142857,1.1428571428571429
BISC & CONFECTIONARY,2333 - DRAGEES CHOCOLATE,2333B - DRAGEES CHOCOLATE 30-49G,2333C - DRAGEES CHOCOLATE 50-160G,4,1.3333333333333333,1.00000000000000000000,1.2000000000000000
BREAD CORNER (BC),1311 - JAM,1311A - JAM 120-180G,1311B - JAM 200-300G,13,4.3333333333333333,1.0625000000000000,1.00000000000000000000
BREAD CORNER (BC),1311 - JAM,1311A - JAM 120-180G,1311C - JAM 340-400G,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
BREAD CORNER (BC),1311 - JAM,1311B - JAM 200-300G,1311C - JAM 340-400G,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
BREAD CORNER (BC),1313 - CHOCO RICE,1313A - CHOCO RICE 90G,1313B - CHOCO RICE 225G,4,1.3333333333333333,1.00000000000000000000,1.2000000000000000
BREAD CORNER (BC),1314 - CHEESE,1314A - CHEESE SLICE,1314B - CHEESE BLOCK,489,163.0000000000000000,1.2033898305084746,1.1508474576271186
BREAD CORNER (BC),1314 - CHEESE,1314A - CHEESE SLICE,1314C - CHEESE SPREAD,126,42.0000000000000000,1.1857142857142857,1.2071428571428571
BREAD CORNER (BC),1314 - CHEESE,1314B - CHEESE BLOCK,1314C - CHEESE SPREAD,274,91.3333333333333333,1.2385964912280702,1.3263157894736842
BREAD CORNER (BC),6611 - BREAD,6611A - WHITE BREAD,6611B - SWEET BREAD,1108,369.3333333333333333,1.0177383592017738,1.2158167036215817
BREAD CORNER (BC),6611 - BREAD,6611A - WHITE BREAD,6611C - SANDWICH BREAD,659,219.6666666666666667,1.0115681233933162,1.3136246786632391
BREAD CORNER (BC),6611 - BREAD,6611A - WHITE BREAD,6611D - PULL APART BREAD,1582,527.3333333333333333,1.0288513881328253,1.0664126292868808
BREAD CORNER (BC),6611 - BREAD,6611B - SWEET BREAD,6611C - SANDWICH BREAD,1073,357.6666666666666667,1.1836477987421384,1.3106918238993711
BREAD CORNER (BC),6611 - BREAD,6611B - SWEET BREAD,6611D - PULL APART BREAD,2031,677.0000000000000000,1.1758879781420765,1.0703551912568306
BREAD CORNER (BC),6611 - BREAD,6611C - SANDWICH BREAD,6611D - PULL APART BREAD,877,292.3333333333333333,1.2812234494477485,1.0543755310110450
BREAD CORNER (BC),6612 - CAKE,6612A - CAKE,6612B - STEAM CAKE,358,119.3333333333333333,1.1928166351606805,1.2306238185255198
BREAKFAST,1213 - LEAF TEA,1213A - LEAF TEA 80-100G,1213B - LEAF TEA 40-60G,50,16.6666666666666667,1.1093750000000000,1.5468750000000000
BREAKFAST,1221 - INSTANT COFFEE MIX,1221A - 2 IN 1 INSTANT COFFEE MIX 5-8'S,1221C - 3 IN 1 INSTANT COFFEE MIX 5-8S,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BREAKFAST,1221 - INSTANT COFFEE MIX,1221B - 2 IN 1 INSTANT COFFEE MIX 10'S,1221C - 3 IN 1 INSTANT COFFEE MIX 5-8S,13,4.3333333333333333,1.0666666666666667,1.3333333333333333
BREAKFAST,1221 - INSTANT COFFEE MIX,1221B - 2 IN 1 INSTANT COFFEE MIX 10'S,1221D - 3 IN 1 INSTANT COFFEE MIX 9-10S,103,34.3333333333333333,1.2302158273381295,1.2877697841726619
BREAKFAST,1221 - INSTANT COFFEE MIX,1221B - 2 IN 1 INSTANT COFFEE MIX 10'S,1221F - 3 IN 1 INSTANT COFFEE MIX BAG,38,12.6666666666666667,1.3157894736842105,1.3684210526315789
BREAKFAST,1221 - INSTANT COFFEE MIX,1221C - 3 IN 1 INSTANT COFFEE MIX 5-8S,1221D - 3 IN 1 INSTANT COFFEE MIX 9-10S,261,87.0000000000000000,1.2722371967654987,1.1590296495956873
BREAKFAST,1221 - INSTANT COFFEE MIX,1221C - 3 IN 1 INSTANT COFFEE MIX 5-8S,1221F - 3 IN 1 INSTANT COFFEE MIX BAG,19,6.3333333333333333,1.2380952380952381,1.0952380952380952
BREAKFAST,1221 - INSTANT COFFEE MIX,1221D - 3 IN 1 INSTANT COFFEE MIX 9-10S,1221F - 3 IN 1 INSTANT COFFEE MIX BAG,136,45.3333333333333333,1.1823204419889503,1.1933701657458564
BREAKFAST,1222 - COFFEE MIX,1222B - 2 IN 1 COFFEE MIX 9-10S,1222D - 3 IN 1 COFFEE MIX 9-10S,259,86.3333333333333333,1.6689419795221843,1.2184300341296928
BREAKFAST,1223 - PURE COFFEE,1223A - PURE COFFEE 50-100G,1223B - PURE COFFEE 101-250G,171,57.0000000000000000,1.2444444444444444,1.2388888888888889
BREAKFAST,1223 - PURE COFFEE,1223A - PURE COFFEE 50-100G,1223C - PURE COFFEE 251-450G,47,15.6666666666666667,1.6037735849056604,1.9811320754716981
BREAKFAST,1223 - PURE COFFEE,1223B - PURE COFFEE 101-250G,1223C - PURE COFFEE 251-450G,56,18.6666666666666667,1.6551724137931034,1.4655172413793103
BREAKFAST,1321 - CEREAL,1321A - CEREAL CUP,1321B - CEREAL BAG,120,40.0000000000000000,1.4324324324324324,1.1891891891891892
BREAKFAST,1321 - CEREAL,1321A - CEREAL CUP,1321C - CEREAL SACHET,23,7.6666666666666667,1.3333333333333333,1.00000000000000000000
BREAKFAST,1321 - CEREAL,1321A - CEREAL CUP,1321D - CEREAL BOX,61,20.3333333333333333,1.5362318840579710,1.0144927536231884
BREAKFAST,1321 - CEREAL,1321B - CEREAL BAG,1321C - CEREAL SACHET,82,27.3333333333333333,1.1717171717171717,1.0909090909090909
BREAKFAST,1321 - CEREAL,1321B - CEREAL BAG,1321D - CEREAL BOX,134,44.6666666666666667,1.1393939393939394,1.0909090909090909
BREAKFAST,1321 - CEREAL,1321C - CEREAL SACHET,1321D - CEREAL BOX,44,14.6666666666666667,1.0370370370370370,1.0370370370370370
