section,category,brand_a,brand_b,trans_ab,trans_ab_pm,avg_qty_a_when_pair,avg_qty_b_when_pair
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),BENTOEL,HS,1,0.33333333333333333333,1.00000000000000000000,2.0000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),BENTOEL,JUARA,1,0.50000000000000000000,1.00000000000000000000,2.0000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),BENTOEL,SAMPOERNA,5,1.6666666666666667,2.2000000000000000,1.2000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),BENTOEL,WIN,20,6.6666666666666667,1.6785714285714286,1.5000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),BENTOEL,WISMILAK,3,1.00000000000000000000,1.00000000000000000000,1.6666666666666667
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),CAMEL,DJARUM,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),CAMEL,DJI SAM SOE,5,1.6666666666666667,1.4000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),CAMEL,SAMPOERNA,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),CAMEL,WIN,1,0.33333333333333333333,1.00000000000000000000,1.5000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),CHIEF,SAMPOERNA,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJARUM,DJI SAM SOE,34,11.3333333333333333,1.1707317073170732,1.1951219512195122
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJARUM,ENVIO,8,2.6666666666666667,1.3750000000000000,1.3750000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJARUM,GUDANG GARAM,9,3.0000000000000000,1.2000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJARUM,HS,7,2.3333333333333333,1.1250000000000000,1.1250000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJARUM,JUARA,5,1.6666666666666667,2.1666666666666667,2.1666666666666667
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJARUM,SAMPOERNA,13,4.3333333333333333,1.5000000000000000,1.1875000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJARUM,TALI JAGAT,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJARUM,WARUNG KOPI,5,1.6666666666666667,1.00000000000000000000,1.2000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJARUM,WIN,6,2.0000000000000000,1.4285714285714286,1.4285714285714286
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJARUM,WISMILAK,3,1.00000000000000000000,1.3333333333333333,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJI SAM SOE,GUDANG GARAM,13,4.3333333333333333,1.2857142857142857,1.3571428571428571
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJI SAM SOE,HS,2,0.66666666666666666667,1.00000000000000000000,1.6666666666666667
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJI SAM SOE,SAMPOERNA,27,9.0000000000000000,1.3928571428571429,1.3928571428571429
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJI SAM SOE,WARUNG KOPI,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJI SAM SOE,WIN,5,1.6666666666666667,1.4000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),DJI SAM SOE,WISMILAK,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),ENVIO,HS,2,0.66666666666666666667,1.00000000000000000000,1.5000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),ENVIO,JUARA,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),ENVIO,SAMPOERNA,2,0.66666666666666666667,1.5000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),ENVIO,WIN,5,1.6666666666666667,1.1666666666666667,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),ENVIO,WISMILAK,2,0.66666666666666666667,1.00000000000000000000,1.5000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),GUDANG GARAM,SAMPOERNA,3,1.5000000000000000,1.3333333333333333,1.3333333333333333
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),GUDANG GARAM,WARUNG KOPI,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),GUDANG GARAM,WIN,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),HS,SAMPOERNA,2,0.66666666666666666667,1.5000000000000000,1.5000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),HS,WARUNG KOPI,3,1.00000000000000000000,1.3333333333333333,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),HS,WIN,6,2.0000000000000000,1.5000000000000000,1.2000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),HS,WISMILAK,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),JUARA,SAMPOERNA,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),JUARA,WIN,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),SAMPOERNA,WARUNG KOPI,5,1.6666666666666667,1.2000000000000000,1.4000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),SAMPOERNA,WIN,3,1.00000000000000000000,3.2500000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),SAMPOERNA,WISMILAK,1,0.50000000000000000000,1.00000000000000000000,4.0000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),TALI JAGAT,WARUNG KOPI,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),WARUNG KOPI,WIN,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2411 - SKT (SIGARET KRETEK TANGAN),WIN,WISMILAK,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,AROMA,CAMEL,8,2.6666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,AROMA,DIPLOMAT,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,AROMA,DJARUM,2,1.00000000000000000000,2.5000000000000000,1.5000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,AROMA,ESSE,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,AROMA,EVO,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,AROMA,GEO MILD,4,1.3333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,AROMA,SAMPOERNA,7,2.3333333333333333,1.5000000000000000,1.6250000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,CLAS MILD,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,DIPLOMAT,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,DJARUM,17,5.6666666666666667,1.0500000000000000,1.1500000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,DUNHILL,22,7.3333333333333333,1.4444444444444444,1.1111111111111111
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,ESSE,14,4.6666666666666667,1.0714285714285714,1.0714285714285714
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,EVO,9,3.0000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,GEO MILD,4,1.3333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,GRENDEL,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,HS,6,2.0000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,MARLBORO,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,SAMPOERNA,32,10.6666666666666667,1.0285714285714286,1.1714285714285714
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,TWIZZ,4,1.3333333333333333,1.00000000000000000000,1.1666666666666667
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CAMEL,WIN,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLAS MILD,DJARUM,7,2.3333333333333333,1.00000000000000000000,1.2857142857142857
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLAS MILD,DUNHILL,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLAS MILD,ESSE,6,2.0000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLAS MILD,EVO,5,1.6666666666666667,1.2000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLAS MILD,GEO MILD,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLAS MILD,HS,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLAS MILD,SAMPOERNA,12,4.0000000000000000,1.7142857142857143,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLAS MILD,WIN,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLIMAX,DJARUM,4,1.3333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLIMAX,DUNHILL,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLIMAX,ESSE,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLIMAX,GEO MILD,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLIMAX,HS,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLIMAX,SAMPOERNA,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,CLIMAX,WIN,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DIPLOMAT,DJARUM,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DIPLOMAT,DUNHILL,2,0.66666666666666666667,1.00000000000000000000,1.3333333333333333
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DIPLOMAT,ESSE,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DIPLOMAT,EVO,11,3.6666666666666667,1.00000000000000000000,1.0833333333333333
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DIPLOMAT,GEO MILD,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DIPLOMAT,HS,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DIPLOMAT,SAMPOERNA,5,1.6666666666666667,1.00000000000000000000,1.1666666666666667
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DIPLOMAT,TWIZZ,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DIPLOMAT,WIN,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DJARUM,DUNHILL,16,5.3333333333333333,1.0588235294117647,1.1176470588235294
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DJARUM,ENVIO,3,1.00000000000000000000,1.3333333333333333,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DJARUM,ESSE,26,8.6666666666666667,1.0357142857142857,1.0357142857142857
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DJARUM,EVO,2,0.66666666666666666667,1.00000000000000000000,1.5000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DJARUM,GEO MILD,6,2.0000000000000000,1.3333333333333333,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DJARUM,GUDANG GARAM,3,1.00000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DJARUM,HS,6,2.0000000000000000,1.1250000000000000,1.1250000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DJARUM,SAMPOERNA,89,29.6666666666666667,1.3564356435643564,1.5742574257425743
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DJARUM,TWIZZ,11,3.6666666666666667,1.0769230769230769,1.1538461538461538
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DUNHILL,ENVIO,3,1.5000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DUNHILL,ESSE,13,4.3333333333333333,1.00000000000000000000,1.0666666666666667
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DUNHILL,EVO,6,2.0000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DUNHILL,GEO MILD,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DUNHILL,GRENDEL,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DUNHILL,HS,7,2.3333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DUNHILL,MARLBORO,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DUNHILL,SAMPOERNA,27,9.0000000000000000,1.1000000000000000,1.5000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DUNHILL,TWIZZ,5,1.6666666666666667,1.00000000000000000000,1.2000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,DUNHILL,WIN,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ENVIO,EVO,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,EVO,5,1.6666666666666667,1.5000000000000000,2.0000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,GEO MILD,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,GUDANG GARAM,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,HS,12,4.0000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,MARLBORO,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,SAMPOERNA,76,25.3333333333333333,1.0240963855421687,1.2409638554216867
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,ESSE,TWIZZ,4,1.3333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,EVO,GRENDEL,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,EVO,MARLBORO,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,EVO,SAMPOERNA,18,6.0000000000000000,1.1666666666666667,1.1111111111111111
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,EVO,TWIZZ,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,EVO,WIN,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,GEO MILD,HS,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,GEO MILD,SAMPOERNA,6,2.0000000000000000,1.1666666666666667,1.5000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,GRENDEL,SAMPOERNA,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,GUDANG GARAM,SAMPOERNA,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,HS,SAMPOERNA,22,7.3333333333333333,1.0571428571428571,1.2285714285714286
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,HS,TWIZZ,1,0.50000000000000000000,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,HS,WIN,2,0.66666666666666666667,1.00000000000000000000,1.5000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,MARLBORO,SAMPOERNA,2,0.66666666666666666667,1.00000000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,SAMPOERNA,TWIZZ,10,3.3333333333333333,1.5000000000000000,1.00000000000000000000
BACKWALL,2412 - SKM (SIGARET KRETEK MESIN) LTLN,SAMPOERNA,WIN,5,1.6666666666666667,1.1666666666666667,1.00000000000000000000
BACKWALL,2413 - SKM (SIGARET KRETEK MESIN) FF,ASPRO,DJARUM,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
BACKWALL,2413 - SKM (SIGARET KRETEK MESIN) FF,ASPRO,GUDANG GARAM,3,1.00000000000000000000,1.3333333333333333,1.6666666666666667
BACKWALL,2413 - SKM (SIGARET KRETEK MESIN) FF,ASPRO,MARLBORO,2,0.66666666666666666667,1.5000000000000000,1.00000000000000000000
BACKWALL,2413 - SKM (SIGARET KRETEK MESIN) FF,ASPRO,WIN,1,0.33333333333333333333,1.00000000000000000000,1.00000000000000000000
